filename,case,split
"D065_HE [d=5,x=5371,y=10340,w=2943,h=2837] [d=1,x=256,y=512,w=512,h=512]",D065,train
"D065_HE [d=5,x=5371,y=10340,w=2943,h=2837] [d=1,x=512,y=0,w=512,h=512]",D065,train
"D065_HE [d=5,x=5371,y=10340,w=2943,h=2837] [d=1,x=512,y=256,w=512,h=512]",D065,val
"D065_HE [d=5,x=5371,y=10340,w=2943,h=2837] [d=1,x=512,y=512,w=512,h=512]",D065,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=0,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=0,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=0,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=1024,y=0,w=512,h=512]",D006,val
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=1024,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=1024,y=512,w=512,h=512]",D006,val
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=256,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=256,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=256,y=512,w=512,h=512]",D006,val
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=512,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=512,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=512,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=768,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=768,y=256,w=512,h=512]",D006,val
"D06_HE [d=5,x=14019,y=22177,w=5815,h=2716] [d=1,x=768,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=0,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=0,y=256,w=512,h=512]",D006,val
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=0,y=512,w=512,h=512]",D006,val
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=256,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=256,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=256,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=512,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=512,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=512,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=768,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=768,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=17233,y=21322,w=4116,h=3691] [d=1,x=768,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=0,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=0,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=0,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=256,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=256,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=256,y=512,w=512,h=512]",D006,val
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=512,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=512,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=512,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=768,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=768,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=18666,y=11161,w=3854,h=3584] [d=1,x=768,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=0,y=0,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=0,y=1024,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=0,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=0,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=0,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1024,y=0,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1024,y=1024,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1024,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1024,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1024,y=768,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1280,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1280,y=1024,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1280,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1280,y=512,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1280,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1536,y=0,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1536,y=1024,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1536,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1536,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=1536,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=256,y=0,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=256,y=1024,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=256,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=256,y=512,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=256,y=768,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=512,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=512,y=1024,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=512,y=256,w=512,h=512]",D006,val
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=512,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=512,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=768,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=768,y=1024,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=768,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=768,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=5603,y=6035,w=8168,h=5489] [d=1,x=768,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=0,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=0,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=0,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=0,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1024,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1024,y=256,w=512,h=512]",D006,val
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1024,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1024,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1280,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1280,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1280,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1280,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1536,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1536,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1536,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=1536,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=256,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=256,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=256,y=512,w=512,h=512]",D006,val
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=256,y=768,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=512,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=512,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=512,y=512,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=512,y=768,w=512,h=512]",D006,val
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=768,y=0,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=768,y=256,w=512,h=512]",D006,train
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=768,y=512,w=512,h=512]",D006,val
"D06_HE [d=5,x=6490,y=7129,w=8026,h=4509] [d=1,x=768,y=768,w=512,h=512]",D006,train
"D07_HE [d=5,x=54893,y=47782,w=1901,h=1333] [d=1,x=0,y=0,w=512,h=512]",D007,train
"D07_HE [d=5,x=54893,y=47782,w=1901,h=1333] [d=1,x=0,y=256,w=512,h=512]",D007,val
"D07_HE [d=5,x=54893,y=47782,w=1901,h=1333] [d=1,x=256,y=0,w=512,h=512]",D007,train
"D07_HE [d=5,x=54893,y=47782,w=1901,h=1333] [d=1,x=256,y=256,w=512,h=512]",D007,train
"D07_HE [d=5,x=60601,y=33586,w=3014,h=2962] [d=1,x=0,y=0,w=512,h=512]",D007,train
"D07_HE [d=5,x=60601,y=33586,w=3014,h=2962] [d=1,x=0,y=256,w=512,h=512]",D007,val
"D07_HE [d=5,x=60601,y=33586,w=3014,h=2962] [d=1,x=0,y=512,w=512,h=512]",D007,val
"D07_HE [d=5,x=60601,y=33586,w=3014,h=2962] [d=1,x=256,y=0,w=512,h=512]",D007,train
"D07_HE [d=5,x=60601,y=33586,w=3014,h=2962] [d=1,x=256,y=256,w=512,h=512]",D007,train
"D07_HE [d=5,x=60601,y=33586,w=3014,h=2962] [d=1,x=256,y=512,w=512,h=512]",D007,train
"D07_HE [d=5,x=60601,y=33586,w=3014,h=2962] [d=1,x=512,y=0,w=512,h=512]",D007,train
"D07_HE [d=5,x=60601,y=33586,w=3014,h=2962] [d=1,x=512,y=256,w=512,h=512]",D007,train
"D07_HE [d=5,x=60601,y=33586,w=3014,h=2962] [d=1,x=512,y=512,w=512,h=512]",D007,train
"D07_HE [d=5,x=69089,y=51733,w=1658,h=1952] [d=1,x=0,y=0,w=512,h=512]",D007,train
"D07_HE [d=5,x=69089,y=51733,w=1658,h=1952] [d=1,x=0,y=256,w=512,h=512]",D007,val
"D07_HE [d=5,x=69089,y=51733,w=1658,h=1952] [d=1,x=256,y=0,w=512,h=512]",D007,train
"D07_HE [d=5,x=69089,y=51733,w=1658,h=1952] [d=1,x=256,y=256,w=512,h=512]",D007,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=0,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=0,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=0,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=0,y=768,w=512,h=512]",D093_L,val
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=1024,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=1024,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=1024,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=1024,y=768,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=1280,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=1280,y=256,w=512,h=512]",D093_L,val
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=1280,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=1280,y=768,w=512,h=512]",D093_L,val
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=256,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=256,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=256,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=256,y=768,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=512,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=512,y=256,w=512,h=512]",D093_L,val
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=512,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=512,y=768,w=512,h=512]",D093_L,val
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=768,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=768,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=768,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=49676,y=54025,w=6479,h=4781] [d=1,x=768,y=768,w=512,h=512]",D093_L,val
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=0,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=0,y=1024,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=0,y=1280,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=0,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=0,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=0,y=768,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1024,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1024,y=1024,w=512,h=512]",D093_L,val
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1024,y=1280,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1024,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1024,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1024,y=768,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1280,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1280,y=1024,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1280,y=1280,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1280,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1280,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=1280,y=768,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=256,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=256,y=1024,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=256,y=1280,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=256,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=256,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=256,y=768,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=512,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=512,y=1024,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=512,y=1280,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=512,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=512,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=512,y=768,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=768,y=0,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=768,y=1024,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=768,y=1280,w=512,h=512]",D093_L,val
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=768,y=256,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=768,y=512,w=512,h=512]",D093_L,train
"D093_L_HE [d=5,x=9052,y=39973,w=7216,h=7135] [d=1,x=768,y=768,w=512,h=512]",D093_L,train
"D094_HE [d=5,x=15707,y=40856,w=4901,h=1589] [d=1,x=0,y=0,w=512,h=512]",D094,train
"D094_HE [d=5,x=15707,y=40856,w=4901,h=1589] [d=1,x=0,y=256,w=512,h=512]",D094,train
"D094_HE [d=5,x=15707,y=40856,w=4901,h=1589] [d=1,x=256,y=0,w=512,h=512]",D094,train
"D094_HE [d=5,x=15707,y=40856,w=4901,h=1589] [d=1,x=256,y=256,w=512,h=512]",D094,train
"D094_HE [d=5,x=15707,y=40856,w=4901,h=1589] [d=1,x=512,y=0,w=512,h=512]",D094,train
"D094_HE [d=5,x=15707,y=40856,w=4901,h=1589] [d=1,x=512,y=256,w=512,h=512]",D094,train
"D094_HE [d=5,x=15707,y=40856,w=4901,h=1589] [d=1,x=768,y=0,w=512,h=512]",D094,val
"D094_HE [d=5,x=15707,y=40856,w=4901,h=1589] [d=1,x=768,y=256,w=512,h=512]",D094,train
"D095_HE [d=5,x=10123,y=13092,w=2763,h=2747] [d=1,x=0,y=0,w=512,h=512]",D095,train
"D095_HE [d=5,x=10123,y=13092,w=2763,h=2747] [d=1,x=0,y=256,w=512,h=512]",D095,val
"D095_HE [d=5,x=10123,y=13092,w=2763,h=2747] [d=1,x=0,y=512,w=512,h=512]",D095,train
"D095_HE [d=5,x=10123,y=13092,w=2763,h=2747] [d=1,x=256,y=0,w=512,h=512]",D095,train
"D095_HE [d=5,x=10123,y=13092,w=2763,h=2747] [d=1,x=256,y=256,w=512,h=512]",D095,train
"D095_HE [d=5,x=10123,y=13092,w=2763,h=2747] [d=1,x=256,y=512,w=512,h=512]",D095,val
"D095_HE [d=5,x=10123,y=13092,w=2763,h=2747] [d=1,x=512,y=0,w=512,h=512]",D095,train
"D095_HE [d=5,x=10123,y=13092,w=2763,h=2747] [d=1,x=512,y=256,w=512,h=512]",D095,train
"D095_HE [d=5,x=10123,y=13092,w=2763,h=2747] [d=1,x=512,y=512,w=512,h=512]",D095,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=0,y=0,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=0,y=1024,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=0,y=256,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=0,y=512,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=0,y=768,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=1024,y=0,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=1024,y=1024,w=512,h=512]",D098,val
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=1024,y=256,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=1024,y=512,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=1024,y=768,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=256,y=0,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=256,y=1024,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=256,y=256,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=256,y=512,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=256,y=768,w=512,h=512]",D098,val
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=512,y=0,w=512,h=512]",D098,val
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=512,y=1024,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=512,y=256,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=512,y=512,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=512,y=768,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=768,y=0,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=768,y=1024,w=512,h=512]",D098,val
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=768,y=256,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=768,y=512,w=512,h=512]",D098,train
"D098_HE [d=5,x=53736,y=42069,w=6042,h=5261] [d=1,x=768,y=768,w=512,h=512]",D098,train
"D099_HE [d=5,x=6634,y=17448,w=3105,h=2082] [d=1,x=0,y=0,w=512,h=512]",D099,train
"D099_HE [d=5,x=6634,y=17448,w=3105,h=2082] [d=1,x=0,y=256,w=512,h=512]",D099,train
"D099_HE [d=5,x=6634,y=17448,w=3105,h=2082] [d=1,x=256,y=0,w=512,h=512]",D099,train
"D099_HE [d=5,x=6634,y=17448,w=3105,h=2082] [d=1,x=256,y=256,w=512,h=512]",D099,train
"D099_HE [d=5,x=6634,y=17448,w=3105,h=2082] [d=1,x=512,y=0,w=512,h=512]",D099,train
"D099_HE [d=5,x=6634,y=17448,w=3105,h=2082] [d=1,x=512,y=256,w=512,h=512]",D099,train
"D09_HE [d=5,x=19391,y=10245,w=3376,h=3326] [d=1,x=0,y=0,w=512,h=512]",D009,val
"D09_HE [d=5,x=19391,y=10245,w=3376,h=3326] [d=1,x=0,y=256,w=512,h=512]",D009,val
"D09_HE [d=5,x=19391,y=10245,w=3376,h=3326] [d=1,x=0,y=512,w=512,h=512]",D009,train
"D09_HE [d=5,x=19391,y=10245,w=3376,h=3326] [d=1,x=256,y=0,w=512,h=512]",D009,train
